species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Aspergillus nidulans,68.2842812,67.53749232,65.81153629,65.38757335,159.365495,50.70963541,140.9465743,155.0987844,123.5423111,65.69352376,65.07571864,183.0027656,238.2869748,249.2348198,153.6685615,150.7340512,129.5665461,171.8391487,169.407051,81.83516677,64.70408487,141.5592742,156.7627277,130.1623093,130.878246,180.8976312,86.94790404,202.01206,235.7036417,154.5171829,109.5515844,50.16304223,157.5370604,127.2890969,160.8206987,156.625562
Aspergillus oryzae,0,0,0,0,0,0,37.48579104,349.7972585,2.807779797,32.11683384,57.84508324,116.6974157,69.99679884,56.04096541,280.9495923,852.4707264,598.8853686,288.8052919,35.0497347,37.32832168,510.1089481,341.8505877,529.9412564,209.6298245,4.565520211,9.120888969,24.4064292,7.06335874,6.658294964,0,1.335994931,2.572463704,0,1.33988523,2.725774554,0
Aspergillus saccharolyticus,136.5685624,328.0392484,137.1073673,244.2781042,132.12353,114.4588913,113.9568048,93.49926721,161.4473383,108.0293502,159.0739789,201.5682636,201.054635,221.2143371,153.6685615,158.3340874,208.746102,228.1561806,243.8877373,190.9487225,267.8448164,171.6782687,137.3407968,187.7077514,237.407051,197.619261,344.7408125,228.8528232,162.4623971,158.3801124,168.3353613,248.2427474,112.5264717,182.2243913,106.3052076,149.3066105
Aspergillus sclerotioniger,0,0,0,0,0,0,23.99090627,273.8978534,8.423339392,8.759136502,37.5993041,14.58717697,55.10386291,63.41477665,90.02804616,122.8672518,120.9287763,70.75729651,46.7329796,12.92134212,531.1753944,197.279414,217.8030818,127.4220502,18.26208084,127.6924456,106.7781278,0,0,0,8.015969588,0,0,0,0,0
Aspergillus terreus,55.20856778,157.1280434,49.35865221,72.78994014,68.10491238,73.89118302,143.9454376,217.798293,109.5034121,143.0658962,151.8433435,132.6106997,221.9047452,119.4557421,114.8633692,168.467469,201.5479606,177.6152545,105.1492041,83.27087145,114.3607081,79.81533545,124.8552698,126.0519206,71.5264833,69.92681543,70.16848396,121.4897703,142.4875122,105.5867416,77.48770601,102.8985482,102.6804054,96.47173658,80.41034934,101.0015306
Aspergillus udagawae,14.52857047,41.3494851,15.0818104,32.07692277,16.34517897,17.38616071,11.99545313,19.79984482,53.34781615,8.759136502,26.03028746,34.47878192,29.78587185,11.79809798,9.313246154,17.73341778,38.86996382,25.99247627,43.81216837,11.48563744,21.06644624,18.07139671,11.09824621,30.14285059,21.30576098,24.32237058,51.86366206,29.66610671,29.29649784,34.76636614,25.38390369,33.44202815,5.626323585,21.43816368,21.80619643,14.63790299
Aspergillus vadensis,17.43428456,17.91811021,23.30825243,12.33727799,5.448392991,21.73270089,10.49602149,25.29980172,26.67390808,37.95625818,40.49155827,98.13191778,47.65739495,73.73811238,102.4457077,140.6006696,53.26624672,17.32831751,48.19338521,31.58550296,55.67560791,21.08329616,8.323684656,16.44155487,68.48280316,82.08800072,71.69388579,35.3167937,103.8694014,132.6272486,86.83967053,41.15941926,47.82375047,88.43242519,61.32992747,11.71032239
Asterias rubens,17.43428456,60.64591147,38.39006283,49.34911196,53.12183166,34.77232142,17.9931797,52.79958619,43.52058686,16.05841692,46.27606659,59.67481487,68.50750524,78.16239912,31.04415385,78.53370733,71.98141449,90.97366694,219.0608419,63.17100593,97.80850038,246.975755,159.5372892,448.0323701,563.080826,191.5386683,144.9131734,88.99832012,43.94474677,39.91693891,34.73586821,84.89130223,26.72503703,54.93529444,47.7010547,39.52233807
Atethmia centrago,430.0456859,543.0565709,353.7370075,246.7455598,148.468709,254.9970238,109.4585098,70.39944826,112.3111919,201.4601395,72.30635405,90.1752758,229.3512132,154.850036,212.6524539,88.66708892,86.37769739,72.20132297,170.8674567,333.0834858,550.7370944,706.2904212,553.5250296,397.3375759,462.6393814,635.4219315,192.20063,118.6644268,86.55783454,43.77986848,1242.475286,410.3079608,37.9776842,48.23586829,28.62063282,77.58088584
Athalia rosae,2.905714094,0,0,0,2.724196495,0,2.998863283,3.299974137,2.807779797,10.21899259,8.676762486,11.93496297,0,0,0,1.266672699,7.198141449,2.888052919,0,2.87140936,0,0,2.774561552,0,0,0,0,12.71404573,6.658294964,0,8.015969588,2.572463704,50.63691227,80.39311381,64.05570202,39.52233807
