species,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Podarcis muralis,18.88714161,26.18800723,32.90576814,16.03846139,17.70727722,31.87462797,25.49033791,10.99991379,25.27001818,20.43798517,17.35352497,26.52213994,8.935761554,26.54572046,34.14856923,25.33345398,28.7925658,53.428979,11.6832449,24.40697956,15.0474616,16.56544698,19.42193086,19.18181401,33.48048155,28.88281507,15.25401825,33.90412195,50.60304173,41.2045821,18.70392904,33.44202815,19.69213255,29.47747506,13.62887277,23.42064478,18.88714161,26.18800723,32.90576814,16.03846139,17.70727722,31.87462797,25.49033791,10.99991379,25.27001818,20.43798517,17.35352497,26.52213994,8.935761554,26.54572046,34.14856923,25.33345398,28.7925658,53.428979,11.6832449,24.40697956,15.0474616,16.56544698,19.42193086,19.18181401,33.48048155,28.88281507,15.25401825,33.90412195,50.60304173,41.2045821,18.70392904,33.44202815,19.69213255,29.47747506,13.62887277,23.42064478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poecilia formosa,2.905714094,5.513264679,0,2.467455598,0,4.346540178,26.98976955,8.799931032,9.827229291,7.299280418,17.35352497,22.54381895,8.935761554,32.44476945,21.73090769,13.93339969,37.43033553,17.32831751,2.920811225,17.22845616,13.54271544,6.023798902,15.26008854,17.81168444,0,3.040296323,12.2032146,14.12671748,14.64824892,21.88993424,21.3759189,10.28985482,59.07639764,29.47747506,29.98352009,11.71032239,2.905714094,5.513264679,0,2.467455598,0,4.346540178,26.98976955,8.799931032,9.827229291,7.299280418,17.35352497,22.54381895,8.935761554,32.44476945,21.73090769,13.93339969,37.43033553,17.32831751,2.920811225,17.22845616,13.54271544,6.023798902,15.26008854,17.81168444,0,3.040296323,12.2032146,14.12671748,14.64824892,21.88993424,21.3759189,10.28985482,59.07639764,29.47747506,29.98352009,11.71032239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poecilia reticulata,87.17142281,82.69897019,52.10079956,69.08875675,54.48392991,105.765811,97.46305671,92.39927584,103.8878525,350.3654601,133.0436914,141.8934487,108.7184322,73.73811238,155.2207692,133.0006334,87.81732568,127.0743284,70.0994694,67.47811997,108.3417235,70.7796371,74.91316191,56.17531246,118.7035255,30.40296323,108.3035296,69.22091565,110.5276964,99.14852567,22.71191383,60.45289704,19.69213255,40.19655691,42.24950559,60.01540225,29.05714094,31.70127191,16.45288407,24.67455598,32.69035794,13.03962053,49.48124417,26.3997931,30.88557777,61.31395551,27.47641454,62.32702886,53.61456932,32.44476945,32.59636154,65.86698034,54.70587501,90.97366694,54.03500766,50.24966381,39.12340015,72.28558682,88.78596967,94.53894047,60.87360281,150.494668,176.9466117,62.15755691,45.27640576,84.98445057,49.43181246,10.28985482,11.25264717,16.07862276,9.540210939,36.59475747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poecilochaetus serpens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.4975583,0,0,0,0,0,0,0
Pogona vitticeps,7.264285234,23.43137489,28.79254713,16.03846139,4.086294743,88.37965028,31.48806447,36.29971551,29.48168787,62.7738116,56.39895616,87.52306181,50.63598214,45.71762968,189.3693385,92.46710702,66.22290133,28.88052919,141.6593444,134.9562399,49.65662327,37.64874314,47.16754639,54.80518288,94.35408435,45.60444484,56.43986753,8.476030487,26.63317986,15.45171829,16.03193918,42.44565112,12.65922807,13.3988523,8.177323662,5.855161195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polinices peselephanti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2864518,20.60229105,0,0,0,0,0,0
Polistes fuscatus,17.43428456,11.02652936,19.19503142,6.168638995,10.89678598,11.59077381,10.49602149,19.79984482,21.05834848,7.299280418,18.79965205,47.73985189,23.82869748,19.17190922,13.96986923,34.20016287,41.7492204,40.43274086,33.58932909,15.79275148,24.07593855,39.15469286,15.26008854,20.55194358,27.39312126,38.00370404,24.4064292,59.33221341,51.93470072,23.17757743,17.36793411,6.43115926,71.73562571,26.7977046,23.16908371,33.66717687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollicipes pollicipes,81.35999462,137.831617,64.44046261,106.1005907,98.07107383,72.44233629,61.47669731,68.1994655,60.36726564,40.87597034,53.506702,137.9151277,37.23233981,81.11192362,76.05817693,53.20025335,69.10215791,69.31327005,70.0994694,70.34952933,87.27527726,137.041425,94.33509277,164.4155487,95.87592442,24.32237058,86.94790404,87.58564837,93.2161295,78.54623462,60.11977191,102.8985482,56.26323585,68.33414674,65.4185893,90.75499852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polydora sp. 1 HA-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0925183,0,171.2565443,0,0,0,0,0,0
Polydrusus cervinus,107.5114215,64.78085998,174.1263564,118.4378687,95.34687734,176.7593006,71.9727188,79.19937929,75.81005453,182.4820105,183.6581393,78.24031283,128.0792489,67.83906339,243.6966077,98.80047051,165.5572533,174.7272016,148.9613725,97.62791825,312.9872012,84.33318463,52.71666949,131.5324389,231.3196907,60.80592646,71.69388579,31.07877845,51.93470072,37.34165252,21.3759189,65.59782445,47.82375047,38.85667168,16.35464732,39.52233807,0,0,0,0,0,11.59077381,8.99658985,24.19981034,5.615559595,7.299280418,2.892254162,7.956641982,13.40364233,20.64667147,37.25298462,25.33345398,14.3962829,11.55221168,16.06446174,5.742818721,4.514238479,10.54164808,11.09824621,8.220777433,0,0,6.101607301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
