species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Melolontha melolontha,0,0,0,0,19.06937547,0,0,9.899922411,0,11.67884867,0,7.956641982,4.467880777,25.07095821,12.41766154,45.60021716,60.46438817,43.32079378,182.5507015,17.22845616,93.2942619,179.2080173,105.433339,394.5973168,470.2485817,148.9745198,35.08424198,4.238015244,3.994976979,6.438215952,5.343979725,5.144927408,111.1198908,34.83701599,39.52373103,213.7133836
Pseudopolydora cf. kempi Japan-1,0,0,0,0,0,20.28385416,0,2.199982758,0,0,1.446127081,0,0,0,0,0,0,0,2.920811225,1.43570468,0,1.505949725,0,0,0,0,0,719.0499197,102.5377425,906.5008061,0,93.89492519,188.4818401,28.13758983,216.699077,2.927580598
Aspergillus sclerotioniger,0,0,0,0,0,0,23.99090627,273.8978534,8.423339392,8.759136502,37.5993041,14.58717697,55.10386291,63.41477665,90.02804616,122.8672518,120.9287763,70.75729651,46.7329796,12.92134212,528.165902,197.279414,217.8030818,127.4220502,18.26208084,127.6924456,106.7781278,0,0,0,8.015969588,0,0,0,0,0
Spirometra erinaceieuropaei,11.62285637,5.513264679,8.226442036,4.934911196,19.06937547,8.693080355,22.49147462,70.39944826,5.615559595,33.57668992,20.24577913,29.17435394,107.2291386,216.7900504,211.1002462,168.467469,202.9875889,166.0630428,74.48068623,111.9849651,72.22781566,135.5354753,130.4043929,106.8701066,56.3080826,107.9305195,22.88102738,12.71404573,10.65327194,15.45171829,20.03992397,5.144927408,16.87897076,18.75839322,12.26598549,21.95685448
Hipparchia semele,0,0,0,2.467455598,12.25888423,17.38616071,13.49488477,89.0993017,5.615559595,68.61323593,8.676762486,6.630534985,19.3608167,78.16239912,63.64051539,53.20025335,47.50773356,15.88429105,150.4217781,282.833822,91.78951574,216.8567605,187.2829048,328.8310973,273.9312126,77.52755624,86.94790404,2.825343496,0,10.30114552,0,36.01449186,0,0,8.177323662,2.927580598
Chrysoperla carnea,33.41571208,48.24106594,23.30825243,34.54437837,35.41455444,28.97693452,25.49033791,47.2996293,29.48168787,46.71539468,23.1380333,72.93588484,29.78587185,23.59619596,54.32726923,57.00027145,59.02475988,54.87300546,20.44567857,57.42818721,37.61865399,31.62494423,178.9592201,41.10388716,45.65520211,71.44696359,50.33826023,73.45893089,127.8392633,173.8318307,208.4152093,50.16304223,63.29614033,93.79196612,99.49077122,92.21878882
Aplidium turbinatum,49.39713959,41.3494851,39.76113651,20.97337258,23.15567021,15.93731398,91.46533014,104.499181,61.77115554,106.5694941,107.013404,18.56549796,99.78267068,41.29334293,63.64051539,32.93349017,43.18884869,40.43274086,49.65379082,145.0061727,64.70408487,94.8748327,149.8263238,87.68829261,65.43912302,22.80222242,80.84629674,39.55480894,37.2864518,18.02700467,17.36793411,69.45652001,70.32904482,81.73299904,31.34640737,103.9291112
Noctua pronuba,40.67999731,63.40254381,39.76113651,34.54437837,55.84602815,43.46540178,80.96930865,75.89940515,49.13614645,26.27740951,62.18346448,133.9368067,83.40044117,81.11192362,69.84934616,69.66699844,174.1950231,103.9699051,55.49541327,47.37825445,36.11390783,39.15469286,55.49123104,46.58440545,45.65520211,25.84251875,21.35562555,52.26885467,87.88949353,69.53273229,44.08783273,42.44565112,81.58169199,54.93529444,76.32168751,60.01540225
Andrena dorsata,46.4914255,101.9953966,37.01898916,41.94674517,27.24196495,59.40271576,56.97840238,45.09964654,37.90502726,64.23366768,63.62959156,88.8491688,96.8040835,72.26335013,66.74493077,106.4005067,90.69658226,112.6340638,73.02028062,41.63543573,67.71357719,27.10709506,55.49123104,73.98699689,15.2184007,28.88281507,33.55884016,56.50686992,107.8643784,82.40916419,36.07186314,69.45652001,49.23033137,56.27517967,40.88661831,73.18951494
Hypoxylon trugodes,130.7571342,471.3841301,13.71073673,87.59467373,9.534687734,2.897693452,64.47556059,10.99991379,1.403889899,0,0,0,92.33620272,44.24286743,29.49194616,0,0,0,5.84162245,0,0,0,0,0,33.48048155,335.9527437,6.101607301,0,0,0,860.3807358,0,0,0,2.725774554,0
Crepidula fornicata,2.905714094,0,6.855368363,1.233727799,268.3333548,121.703125,5.997726567,28.59977585,7.019449493,23.35769734,31.81479578,34.47878192,5.957174369,28.0204827,26.38753077,110.2005248,727.0122863,105.4139315,7.302028062,11.48563744,129.4081697,67.76773765,54.10395027,21.92207315,13.69656063,0,85.42250221,24.01541971,74.5729036,20.60229105,16.03193918,69.45652001,7.032904482,1.33988523,27.25774554,35.13096717
Bugulina stolonifera,46.4914255,38.59285276,8.226442036,33.31065057,32.69035794,37.67001487,103.4607833,57.19955171,44.92447676,58.39424335,117.1362936,67.63145685,90.84690913,53.09144091,71.40155385,100.0671432,71.98141449,83.75353465,81.78271429,123.4706025,81.25629262,46.68444149,36.06930018,52.06492374,54.78624253,68.40666727,140.3369679,21.19007622,33.29147482,112.0249576,45.42382766,63.02536075,14.06580896,37.51678645,23.16908371,29.27580598
Trachurus trachurus,2.905714094,0,0,4.934911196,23.15567021,20.28385416,29.98863283,315.6975258,78.61783433,183.9418665,23.1380333,15.91328396,58.0824501,103.2333573,194.0259615,48.13356256,107.9721217,24.54844981,29.20811225,94.75650889,63.19933871,171.6782687,248.3232589,167.1558078,0,47.12459301,83.89710039,0,0,0,5.343979725,5.144927408,0,0,0,0
Python bivittatus,39.22714026,37.21453659,89.11978872,74.02366794,6.810491238,278.1785714,35.9863594,17.59986206,16.84667878,322.6281945,36.15317702,66.30534985,5.957174369,17.69714697,12.41766154,45.60021716,23.03405264,70.75729651,26.28730102,155.0561055,87.27527726,22.58924588,44.39298483,20.55194358,42.61152197,27.36266691,106.7781278,43.79282419,10.65327194,7.725859143,8.015969588,317.6992674,2.813161793,10.71908184,5.451549108,10.24653209
