species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Emiliania huxleyi,17.43428456,41.3494851,13.71073673,38.24556177,12.25888423,14.48846726,29.98863283,19.79984482,28.07779797,8.759136502,31.81479578,33.15267493,20.85011029,32.44476945,24.83532308,35.46683557,14.3962829,31.76858211,26.28730102,30.14979828,16.55220776,19.57734643,29.1328963,23.29220273,4.565520211,22.80222242,24.4064292,21.19007622,14.64824892,15.45171829,20.03992397,12.86231852,25.31845613,22.77804891,17.7175346,23.42064478
Emmelina monodactyla,185.965702,191.5859476,297.522987,173.9556197,181.1590669,266.5877976,139.4471427,120.9990517,192.3329161,451.0955299,201.0116643,247.9820085,142.9721849,156.3247982,262.3231,210.267668,256.2538356,202.1637043,148.9613725,156.4918101,293.4255011,112.9462294,109.5951813,163.0454191,260.234652,168.7364459,431.6887165,142.6798465,182.437282,184.1329762,247.1590623,466.9021623,85.80143467,104.511048,65.4185893,122.9583851
Encyonema minutum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67182238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endotricha flammealis,136.5685624,75.80738934,164.5288407,140.6449691,83.08799311,144.8846726,89.9658985,70.39944826,80.02172423,115.3286306,91.1060061,57.02260087,137.0150105,103.2333573,228.1745308,116.5338883,126.6872895,102.5258786,170.8674567,166.5417429,136.9319005,213.844861,141.5026392,228.8116385,143.0529666,197.619261,474.3999677,79.10961788,46.60806475,106.8743848,146.9594424,106.7572437,54.85665496,32.15724553,29.98352009,46.84128956
Ennomos fuscantarius,271.6842678,179.1811021,226.227156,302.2633108,125.3130388,150.6800595,131.9499845,85.79932756,161.4473383,216.0587004,177.873631,125.9801647,207.0118093,224.1638616,276.2929692,207.7343226,256.2538356,222.3800748,160.6446174,370.4118075,483.0235173,171.6782687,115.1443044,234.2921568,365.2416169,320.7512621,509.4842096,125.7277856,111.8593554,145.5036805,279.2229406,509.3478134,37.9776842,66.99426151,223.5135134,45.37749926
Ennomos quercinarius,94.43570804,259.1234399,113.7991148,161.6183417,190.6937547,147.782366,95.96362506,192.4984913,106.6956323,205.8397078,253.0722392,308.9829303,168.2901759,129.7790778,136.5942769,262.2012487,280.7275165,242.5964452,169.407051,254.1197284,328.0346628,239.4460063,230.2886088,286.3570806,105.0069648,120.0917048,218.132461,391.3100742,312.9398633,288.4320747,200.3992397,209.6557919,199.7344873,205.0024402,185.3526697,304.4683821
Entomoneis cf. alata,0,0,0,0,0,0,0,0,0,0,0,0,58.0824501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomoneis paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,92.9100216,65.19272308,68.40032574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomoneis sp.,21.7928557,1.37831617,19.19503142,24.67455598,54.48392991,40.56770832,521.8022113,678.6946808,130.5617606,106.5694941,96.89051442,106.0885598,2107.350433,2775.50255,3171.160316,2105.210026,2725.216353,1575.432867,490.6962858,885.8297877,397.2529862,987.9030199,921.1544353,706.9868592,214.5794499,509.2496341,315.7581778,258.5189299,139.8241943,127.4766759,50.76780739,60.45289704,61.88955944,76.37345812,57.24126564,134.6687075
Epicampocera succincta,74.09570939,27.5663234,69.9247573,37.01183397,32.69035794,40.56770832,25.49033791,36.29971551,25.27001818,17.518273,11.56901665,3.978320991,19.3608167,17.69714697,72.95376154,17.73341778,21.59442435,8.664158757,18.98527296,21.5355702,9.028476958,9.035698353,4.161842328,2.740259144,30.4368014,41.04400036,108.3035296,5.650686992,3.994976979,1.28764319,69.47173643,72.02898371,0,2.67977046,10.90309822,7.318951494
Epichloe amarillans,5.811428187,12.40484553,5.484294691,1.233727799,5.448392991,7.244233629,7.497158208,7.699939653,11.23111919,0,4.338381243,6.630534985,8.935761554,4.424286743,13.96986923,7.600036193,2.87925658,8.664158757,1.460405612,0,12.03796928,51.20229067,65.20219647,32.88310973,7.609200351,4.560444484,3.050803651,5.650686992,5.326635972,12.8764319,0,5.144927408,9.846066274,12.05896707,10.90309822,4.391370896
Epichloe elymi,2.905714094,0,0,3.701183397,21.79357196,1.448846726,1.499431642,1.099991379,2.807779797,0,1.446127081,2.652213994,53.61456932,51.61667867,48.11843846,64.60030764,74.86067107,46.2088467,522.8252092,60.29959657,242.2641317,548.1657001,345.4329132,1186.532209,1556.842392,554.8540789,135.7607624,8.476030487,2.663317986,1.28764319,2.671989863,2.572463704,0,2.67977046,0,8.782741793
Epichloe festucae,23.24571275,31.70127191,6.855368363,17.27218919,27.24196495,23.18154761,10.49602149,12.09990517,12.63500909,8.759136502,23.1380333,15.91328396,19.3608167,7.373811238,7.761038462,31.66681747,24.47368093,18.77234397,29.20811225,34.45691232,33.10441551,48.19039121,20.80921164,39.73375759,12.17472056,7.600740807,86.94790404,26.84076321,23.96986187,32.19107976,13.35994931,48.87681038,33.75794151,33.49713076,36.79795648,27.81201568
Epichloe typhina,43.5857114,56.51096296,105.5726728,61.68638995,31.3282597,66.64694939,8.99658985,3.299974137,12.63500909,89.0512211,39.04543119,6.630534985,10.42505515,11.79809798,54.32726923,2.533345398,17.27553948,21.66039689,23.3664898,20.09986552,52.66611559,4.517849176,1.387280776,13.70129572,30.4368014,25.84251875,76.27009126,1.412671748,1.331658993,1.28764319,22.71191383,104.18478,5.626323585,5.359540921,8.177323662,1.463790299
