genus,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Procanace,1.452857047,8.269897019,4.113221018,4.934911196,5.448392991,10.14192708,4.498294925,149.5988275,7.019449493,5.839424335,28.92254162,2.652213994,20.85011029,5.89904899,10.86545385,12.66672699,17.27553948,2.888052919,2.920811225,27.27838892,21.06644624,42.16659231,29.1328963,13.70129572,178.0552882,597.4182275,25.93183103,161.0445793,3951.032232,2225.047433,2.671989863,34.72826,22.50529434,32.15724553,16.35464732,13.17411269
Propithecus,1.452857047,6.891580849,6.855368363,4.934911196,17.70727722,17.38616071,38.98522268,117.6990776,37.90502726,26.27740951,26.03028746,26.52213994,28.29657825,22.12143371,40.3574,26.60012668,51.82661843,18.77234397,35.0497347,24.40697956,24.07593855,49.69634094,98.4969351,50.69479417,28.91496133,72.96711175,76.27009126,57.91954166,37.2864518,27.040507,56.11178711,15.43478222,57.66981675,60.29483536,50.42682925,52.69645076
Protodeltote,55.20856778,81.32065402,178.2395774,112.2692297,125.3130388,76.78887647,161.9386173,206.7983793,130.5617606,154.7447449,170.6429956,190.9594076,172.7580567,204.9919524,166.0862231,247.0011763,221.7027566,177.6152545,214.679625,147.8775821,174.5505545,281.6125987,309.3636131,206.8895654,140.0092865,155.0551125,144.9131734,162.457251,436.7841497,251.0904221,126.9195185,68.17028816,271.470113,280.0360131,201.707317,207.8582224
Psammodictyon,1.452857047,0,1.371073673,0,0,5.795386903,1.499431642,1.099991379,0,0,2.892254162,10.60885598,1.489293592,0,3.104415385,60.80028955,67.66252962,8.664158757,42.35176276,38.76402636,46.64713095,87.34508408,338.4965094,78.09738561,24.34944112,50.16488933,7.627009126,7.06335874,5.326635972,0,0,9.003622964,11.25264717,0,0,17.56548359
Psammophaga,0,0,1.371073673,0,4.086294743,1.448846726,14.99431642,12.09990517,1.403889899,11.67884867,5.784508324,6.630534985,0,1.474762248,1.552207692,10.13338159,8.637769739,10.10818522,2.920811225,0,3.009492319,16.56544698,16.64736931,6.85064786,0,3.040296323,0,2.825343496,0,1.28764319,6.679974656,2.572463704,87.20801557,24.11793414,665.0889911,90.75499852
Pseudo-nitzschia,1.452857047,0,0,2.467455598,0,0,8.99658985,105.5991724,7.019449493,1.459856084,2.892254162,9.28274898,49.14668855,2.949524495,37.25298461,119.0672337,168.4365099,31.76858211,4.381216837,7.178523401,49.65662327,225.8924588,124.8552699,194.5583992,36.52416169,4.560444484,3.050803651,9.888702235,0,9.013502333,0,2.572463704,19.69213255,2.67977046,2.725774554,7.318951494
Pseudochaenichthys,270.2314107,374.9019982,244.0511137,331.8727779,324.1793829,226.0200892,329.8749612,294.7976896,277.9701999,162.0440253,310.9173224,490.6595889,379.769866,526.4901224,341.4856923,333.1349198,357.0278159,482.3048375,384.0866761,278.526708,306.9682166,429.1956718,353.7565979,349.3830409,322.6300949,349.6340771,448.4681366,477.4830508,416.8092648,374.7041684,339.3427125,311.2681082,413.5347835,400.6256838,361.1651284,415.7164449
Pseudochilodonopsis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.09200351,0,0,0,0,0,0,0,0,0,0,0
Pseudomicrostroma,92.982851,135.0749846,47.98757854,88.82840153,59.9323229,60.85156249,91.46533014,45.09964654,80.02172423,48.17525076,85.32149778,100.7841318,80.42185398,58.9904899,113.3111615,92.46710702,109.41175,90.97366694,105.1492041,71.78523401,106.8369773,100.8986316,79.07500423,87.68829261,80.65752372,88.16859337,132.7099588,83.34763313,69.24626763,84.98445057,148.2954374,126.0507215,78.76853019,61.63472059,46.33816742,79.04467613
Pseudomyrmex,77.00142348,133.6966685,8.226442036,45.64792856,38.13875093,15.93731398,127.4516895,37.39970689,35.09724747,13.13870475,43.38381243,14.58717697,117.6541938,84.06144811,79.16259231,27.86679938,30.23219409,51.98495254,132.8969107,31.58550296,21.06644624,52.70824039,37.45658095,56.17531246,63.91728295,13.68133345,28.98263468,7.06335874,15.97990791,19.31464786,45.42382766,6.43115926,9.846066274,13.3988523,9.540210939,21.95685448
