,distance,similarity1,similarity18
377,0.301029996,-0.153718604,-0.340517153
378,0.301029996,-0.117930738,-0.313059888
379,0.602059991,-0.13646845,-0.283428877
380,0.602059991,-0.130390131,-0.406683787
381,0.602059991,-0.163795543,-0.375626686
382,0.602059991,-0.234097173,-0.358027034
383,0.602059991,-0.24853608,-0.311096123
384,0.602059991,-0.200685659,-0.37968686
385,0.77815125,-0.253634242,-0.410589966
386,0.77815125,-0.250275411,-0.387490051
387,0.77815125,-0.201128378,-0.365995963
388,0.77815125,-0.185615423,-0.295137745
389,0.77815125,-0.217990344,-0.186823101
390,0.77815125,-0.195241954,-0.284929425
391,0.903089987,-0.189589892,-0.35336292
392,0.903089987,-0.140895647,-0.281662161
393,0.903089987,-0.205064421,-0.303043638
394,0.903089987,-0.189536373,-0.299755573
395,0.903089987,-0.201656392,-0.12814125
396,0.903089987,-0.197743614,-0.309574865
397,0.301029996,-0.185545673,-0.140130873
398,0.301029996,-0.147579282,-0.12936522
399,0.301029996,-0.194213493,-0.143143749
400,0.301029996,-0.147871878,-0.153402038
401,0.301029996,-0.113295195,-0.121009508
402,0.301029996,-0.135801583,-0.212476876
403,0,-0.120881557,-0.122010006
404,0,-0.159001386,-0.134054459
405,0,-0.102021742,-0.125230334
406,0,-0.145953813,-0.121806594
407,0,-0.109957078,-0.285088878
408,0,0,0
409,0.301029996,-0.170793405,-0.134440813
410,0.301029996,-0.131664061,-0.156593469
411,0.301029996,-0.1883221,-0.129031068
412,0.301029996,-0.117322002,-0.21159111
413,0.301029996,-0.13029145,-0.202247401
414,0.301029996,-0.095964225,-0.170525563
415,0.602059991,-0.127101785,-0.192510993
416,0.602059991,-0.141500574,-0.258425021
417,0.602059991,-0.157522359,-0.251284725
418,0.602059991,-0.207934273,-0.201363446
419,0.602059991,-0.227192535,-0.229538744
420,0.602059991,-0.1912357,-0.232314183
421,0.77815125,-0.250569877,-0.244654146
422,0.77815125,-0.244780504,-0.248071836
423,0.77815125,-0.199318698,-0.213229269
424,0.77815125,-0.121553007,-0.260680655
425,0.77815125,-0.163085278,-0.289692628
426,0.77815125,-0.142820953,-0.268438642
427,0.903089987,-0.179058353,-0.19816245
428,0.903089987,-0.136665578,-0.120993893
429,0.903089987,-0.137500218,-0.154277768
430,0.903089987,-0.121563196,-0.165410631
431,0.903089987,-0.181044043,-0.277522778
432,0.903089987,-0.131668814,-0.123892177
433,0.602059991,-0.20351719,-0.124773323
434,0.602059991,-0.177124407,-0.12647774
435,0.602059991,-0.23997749,-0.136086665
436,0.602059991,-0.17999493,-0.10374381
437,0.602059991,-0.178159136,-0.121806594
438,0.602059991,-0.202310429,-0.243017368
439,0.301029996,-0.100324827,-0.093730942
440,0.301029996,-0.127071714,-0.127348308
441,0.301029996,-0.172898162,-0.132608683
442,0.301029996,-0.189006912,-0.148899802
443,0.301029996,-0.174831395,-0.293926972
444,0.301029996,-0.170793405,-0.134440813
445,0,0,0
446,0,-0.066786522,-0.085207261
447,0,-0.1031046,-0.106483563
448,0,-0.130364558,-0.081399143
449,0,-0.116705726,-0.084646834
450,0,-0.109616834,-0.061739031
451,0.301029996,-0.10272486,-0.085020372
452,0.301029996,-0.173358876,-0.140555339
453,0.301029996,-0.1690613,-0.160628854
454,0.301029996,-0.19020103,-0.134424708
455,0.301029996,-0.210534322,-0.125482684
456,0.301029996,-0.160758981,-0.145037466
457,0.602059991,-0.182204558,-0.151840218
458,0.602059991,-0.192427695,-0.14569809
459,0.602059991,-0.17675092,-0.170315607
460,0.602059991,-0.22981117,-0.244924081
461,0.602059991,-0.267237346,-0.335703479
462,0.602059991,-0.250588928,-0.325307536
463,0.77815125,-0.186569083,-0.186586958
464,0.77815125,-0.2057994,-0.158240552
465,0.77815125,-0.256840812,-0.22680085
466,0.77815125,-0.243307251,-0.224773569
467,0.77815125,-0.288671305,-0.336856985
468,0.77815125,-0.248053938,-0.12592465
469,0.602059991,-0.190392428,-0.168186793
470,0.602059991,-0.160442068,-0.164063659
471,0.602059991,-0.214416618,-0.171226151
472,0.602059991,-0.158569373,-0.163787872
473,0.602059991,-0.144047953,-0.126224811
474,0.602059991,-0.168358351,-0.239577517
475,0.301029996,-0.083476863,-0.152880807
476,0.301029996,-0.107594119,-0.164236114
477,0.301029996,-0.131164546,-0.163254034
478,0.301029996,-0.16602083,-0.186714096
479,0.301029996,-0.146995946,-0.292673194
480,0.301029996,-0.131664061,-0.156593469
481,0,-0.066786522,-0.085207261
482,0,0,0
483,0,-0.083627276,-0.04281311
484,0,-0.108607391,-0.127221571
485,0,-0.097247694,-0.088889519
486,0,-0.074154658,-0.04926435
487,0.301029996,-0.085646789,-0.120884607
488,0.301029996,-0.148077356,-0.214389347
489,0.301029996,-0.149012167,-0.216816176
490,0.301029996,-0.180009638,-0.184593947
491,0.301029996,-0.199919487,-0.199600915
492,0.301029996,-0.154710642,-0.202209749
493,0.602059991,-0.191321115,-0.243783192
494,0.602059991,-0.186430763,-0.227478719
495,0.602059991,-0.160800867,-0.210400104
496,0.602059991,-0.192319825,-0.2800377
497,0.602059991,-0.238831392,-0.396053307
498,0.602059991,-0.222620568,-0.373136121
